Institute Name,Academic Program,Gender,Closing Rank
"Dr. B R Ambedkar
National Institute of
Technology,
Jalandhar","Bio Technology (4 Years,
Bachelor of Technology)",Gender-Neutral,67216
"Dr. B R Ambedkar
National Institute of
Technology,
Jalandhar","Chemical Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,56585
"Dr. B R Ambedkar
National Institute of
Technology,
Jalandhar","Textile Technology (4
Years, Bachelor of
Technology)",Gender-Neutral,80933
"Dr. B R Ambedkar
National Institute of
Technology,
Jalandhar","Textile Technology (4
Years, Bachelor of
Technology)",Gender-Neutral,50863
"National Institute of
Technology Agartala","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,55914
"National Institute of
Technology Agartala","Chemical Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,231324
"National Institute of
Technology Agartala","Chemistry (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",Gender-Neutral,299281
"National Institute of
Technology Agartala","Chemistry (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",Gender-Neutral,57997
"National Institute of
Technology Agartala","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,217289
"National Institute of
Technology Agartala","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,53657
"National Institute of
Technology Agartala","Mechanical Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,173117
"National Institute of
Technology Agartala","Physics (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",Gender-Neutral,236979
"National Institute of
Technology Agartala","Physics (5 Years,
Bachelor of Science and
Master of Science (Dual
Degree))",Gender-Neutral,51420
"National Institute of
Technology Agartala","Production Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,307180
"National Institute of
Technology Agartala","Production Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,56865
"National Institute of
Technology Durgapur","Chemistry (5 Years,
Integrated Master of
Science)",Gender-Neutral,55579
"National Institute of
Technology Durgapur","Chemistry (5 Years,
Integrated Master of
Science)",Gender-Neutral,54181
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,83278
"National Institute of
Technology Goa","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,89452
"National Institute of
Technology Goa","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,64325
"National Institute of
Technology Hamirpur","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,111536
"National Institute of
Technology Hamirpur","Electronics and
Communication
Engineering (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",Gender-Neutral,55371
"National Institute of
Technology Hamirpur","Engineering Physics (4
Years, Bachelor of
Technology)",Gender-Neutral,111665
"National Institute of
Technology Hamirpur","Materials Science and
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,114907
"National Institute of
Technology Hamirpur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,79041
"National Institute of
Technology
Meghalaya","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,188231
"National Institute of
Technology
Meghalaya","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,102988
"National Institute of
Technology
Meghalaya","Mechanical Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,162491
"National Institute of
Technology
Puducherry","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,206045
"National Institute of
Technology
Puducherry","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,63717
"National Institute of
Technology
Puducherry","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,120719
"National Institute of
Technology
Puducherry","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,90244
"National Institute of
Technology Raipur","Mechanical Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,55150
"National Institute of
Technology Raipur","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,76780
"National Institute of
Technology Raipur","Mining Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,82515
"National Institute of
Technology Raipur","Mining Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,51623
"National Institute of
Technology Sikkim","Artificial Intelligence and
Machine Learning (4
Years, Bachelor of
Technology)",Gender-Neutral,305662
"National Institute of
Technology Sikkim","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,54266
"National Institute of
Technology Sikkim","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,143919
"National Institute of
Technology Sikkim","Electrical and
Electronics Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,377626
"National Institute of
Technology Sikkim","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,209475
"National Institute of
Technology Sikkim","Mechanical Engineering
(4 Years, Bachelor of
Technology)",Gender-Neutral,663130
"National Institute of
Technology
Arunachal Pradesh","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,189756
"National Institute of
Technology
Arunachal Pradesh","Civil Engineering (4
Years, Bachelor of
Technology)",Gender-Neutral,55692
"National Institute of
Technology
Arunachal Pradesh","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",Gender-Neutral,71299
