Institute Name,Academic Program,Quota,Seat Type,Gender,Opening Rank,Closing Rank
"Indian Institute of
Technology","Civil Engineering (4
Years, Bachelor of",AI,OPEN,Gender-Neutral,9106,14782
"Indian Institute of
Technology
Bhubaneswar","Civil Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",18286,23024
"Indian Institute of
Technology
Bhubaneswar","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,2389,3685
"Indian Institute of
Technology
Bhubaneswar","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4833,7557
"Indian Institute of
Technology
Bhubaneswar","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,5381,7661
"Indian Institute of
Technology
Bhubaneswar","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",12140,14183
"Indian Institute of
Technology
Bhubaneswar","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,3944,5157
"Indian Institute of
Technology
Bhubaneswar","Electronics and
Communication
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",8798,10904
"Indian Institute of
Technology
Bhubaneswar","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,10756,11307
"Indian Institute of
Technology
Bhubaneswar","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",18825,18825
"Indian Institute of
Technology
Bhubaneswar","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,7881,10233
"Indian Institute of
Technology
Bhubaneswar","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",16104,19505
"Indian Institute of
Technology
Bhubaneswar","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,11823,14898
"Indian Institute of
Technology
Bhubaneswar","Metallurgical and
Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",20901,21693
"Indian Institute of
Technology Bombay","Aerospace Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,817,2394
"Indian Institute of
Technology Bombay","Aerospace Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",2494,6360
"Indian Institute of
Technology Bombay","BS in Mathematics (4
Years, Bachelor of
Science)",AI,OPEN,Gender-Neutral,631,1191
"Indian Institute of
Technology Bombay","BS in Mathematics (4
Years, Bachelor of
Science)",AI,OPEN,"Female-only
(including
Supernumerary)",4101,4101
"Indian Institute of
Technology Bombay","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,650,2545
"Indian Institute of
Technology Bombay","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4559,6650
"Indian Institute of
Technology Bombay","Chemistry (4 Years,
Bachelor of Science)",AI,OPEN,Gender-Neutral,5629,7430
"Indian Institute of
Technology Bombay","Chemistry (4 Years,
Bachelor of Science)",AI,OPEN,"Female-only
(including
Supernumerary)",9692,11262
"Indian Institute of
Technology Bombay","Civil Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,2244,4046
"Indian Institute of
Technology Bombay","Civil Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",6334,8833
"Indian Institute of
Technology Bombay","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,1,68
"Indian Institute of
Technology Bombay","Computer Science and
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",7,421
"Indian Institute of
Technology Bombay","Industrial Engineering
and Operations
Research (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",3258,4762
"Indian Institute of
Technology Bombay","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,666,1685
"Indian Institute of
Technology Bombay","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",1662,4444
"Indian Institute of
Technology Bombay","Metallurgical
Engineering and
Materials Science (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,2690,4193
"Indian Institute of
Technology Bombay","Metallurgical
Engineering and
Materials Science (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",6870,8491
"Indian Institute of
Technology Mandi","B.Tech in General
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,7482,10842
"Indian Institute of
Technology Mandi","B.Tech in General
Engineering (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",14742,18004
"Indian Institute of
Technology Mandi","B.Tech in Materials
Science and Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,12859,14440
"Indian Institute of
Technology Mandi","B.Tech in Materials
Science and Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",21058,23252
"Indian Institute of
Technology Mandi","B.Tech in Mathematics
and Computing (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,3634,4089
"Indian Institute of
Technology Mandi","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,4772,6909
"Indian Institute of
Technology Mandi","Electrical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",11796,12842
"Indian Institute of
Technology Mandi","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,9089,10475
"Indian Institute of
Technology Mandi","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",19986,20153
"Indian Institute of
Technology Mandi","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,6947,9734
"Indian Institute of
Technology Mandi","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",18047,19060
"Indian Institute of
Technology Delhi","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,3677,4849
"Indian Institute of
Technology Delhi","Biotechnology and
Biochemical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",8216,9733
"Indian Institute of
Technology Delhi","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1689,2221
"Indian Institute of
Technology Delhi","Chemical Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",3550,5060
"Indian Institute of
Technology Delhi","Chemical Engineering (5
Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,Gender-Neutral,2629,3646
"Indian Institute of
Technology Delhi","Chemical Engineering (5
Years, Bachelor and
Master of Technology
(Dual Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",6656,6847
"Indian Institute of
Technology Delhi","Engineering and
Computational
Mechanics (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,890,1194
"Indian Institute of
Technology Delhi","Engineering and
Computational
Mechanics (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",2128,3381
"Indian Institute of
Technology Delhi","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1845,2560
"Indian Institute of
Technology Delhi","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4087,7030
"Indian Institute of
Technology Delhi","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,2422,3797
"Indian Institute of
Technology Delhi","Materials Engineering (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",8280,9743
"Indian Institute of
Technology Delhi","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,118,332
"Indian Institute of
Technology Delhi","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",824,1240
"Indian Institute of
Technology Delhi","Mathematics and
Computing (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",AI,OPEN,Gender-Neutral,339,417
"Indian Institute of
Technology Delhi","Mathematics and
Computing (5 Years,
Bachelor and Master of
Technology (Dual
Degree))",AI,OPEN,"Female-only
(including
Supernumerary)",1433,1644
"Indian Institute of
Technology Delhi","Mechanical Engineering
(4 Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,1225,1782
"Indian Institute of
Technology Indore","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,Gender-Neutral,5765,7612
"Indian Institute of
Technology Indore","Engineering Physics (4
Years, Bachelor of
Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",13790,15115
"Indian Institute of
Technology Indore","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,Gender-Neutral,1591,2180
"Indian Institute of
Technology Indore","Mathematics and
Computing (4 Years,
Bachelor of Technology)",AI,OPEN,"Female-only
(including
Supernumerary)",4905,5064
